temp_max,temp_min,temp_avg,hum_max,hum_min,hum_avg,cur_time,serial,status,mac
24.1,24.1,24.1,65.2,64.9,65,2020-09-13T15:39:59.000Z,4090,22,00:a0:c6:00:00:00
24.1,24,24.08,64.9,64.8,64.88,2020-09-13T15:40:10.000Z,4090,33,00:a0:c6:00:00:00
24.2,24.1,24.18,65.1,64.8,64.92,2020-09-13T15:40:20.000Z,4090,33,00:a0:c6:00:00:00
24.3,24.2,24.24,68.2,66.3,67.3,2020-09-13T15:40:34.000Z,4090,33,00:a0:c6:00:00:00
24.3,24.3,24.3,72.4,70.2,71.4,2020-09-13T15:40:49.000Z,4090,32,00:a0:c6:00:00:00
24.4,24.4,24.4,74.9,73.1,74.18,2020-09-13T15:40:59.000Z,4090,32,00:a0:c6:00:00:00
24.5,24.5,24.5,75.7,75.2,75.52,2020-09-13T15:41:10.000Z,4090,32,00:a0:c6:00:00:00
24.6,24.5,24.58,75.7,75.3,75.5,2020-09-13T15:41:20.000Z,4090,32,00:a0:c6:00:00:00
24.7,24.6,24.64,75.2,74.5,74.92,2020-09-13T15:41:33.000Z,4090,32,00:a0:c6:00:00:00
24.8,24.8,24.8,74.2,73.4,73.78,2020-09-13T15:41:44.000Z,4090,32,00:a0:c6:00:00:00
25,24.8,24.92,73.2,72.5,72.84,2020-09-13T15:41:56.000Z,4090,32,00:a0:c6:00:00:00
25.1,24.9,25,72.3,71.6,71.88,2020-09-13T15:42:09.000Z,4090,32,00:a0:c6:00:00:00
25.2,25.1,25.12,71.5,70.6,71.06,2020-09-13T15:42:25.000Z,4090,32,00:a0:c6:00:00:00
25.3,25.3,25.3,70.5,70,70.22,2020-09-13T15:42:36.000Z,4090,32,00:a0:c6:00:00:00
25.5,25.4,25.42,69.8,69.5,69.62,2020-09-13T15:42:49.000Z,4090,32,00:a0:c6:00:00:00
25.6,25.5,25.56,69.4,69.1,69.24,2020-09-13T15:42:59.000Z,4090,32,00:a0:c6:00:00:00
25.7,25.6,25.68,69,68.6,68.8,2020-09-13T15:43:12.000Z,4090,32,00:a0:c6:00:00:00
25.8,25.8,25.8,68.7,68.3,68.48,2020-09-13T15:43:23.000Z,4090,32,00:a0:c6:00:00:00
26,25.9,25.96,68.4,68.1,68.2,2020-09-13T15:43:36.000Z,4090,32,00:a0:c6:00:00:00
26.1,26,26.06,68,67.7,67.86,2020-09-13T15:43:49.000Z,4090,22,00:a0:c6:00:00:00
26.1,26.1,26.1,67.7,67.5,67.6,2020-09-13T15:43:59.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.1,26.18,67.5,67.5,67.5,2020-09-13T15:44:15.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.2,26.2,67.4,67.4,67.4,2020-09-13T15:44:28.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.2,26.22,67.4,67.3,67.34,2020-09-13T15:44:41.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.3,26.3,67.4,67.3,67.36,2020-09-13T15:44:54.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.2,26.28,67.4,67.2,67.3,2020-09-13T15:45:08.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.3,26.3,67.4,67.4,67.4,2020-09-13T15:45:18.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.3,26.3,67.5,67.4,67.48,2020-09-13T15:45:31.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.3,26.3,67.8,67.6,67.68,2020-09-13T15:45:45.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.3,26.3,68,67.8,67.9,2020-09-13T15:45:55.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.3,26.3,68.1,68,68.06,2020-09-13T15:46:05.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.2,26.28,68.2,68.1,68.18,2020-09-13T15:46:18.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.2,26.26,68.5,68.3,68.38,2020-09-13T15:46:29.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.2,26.24,68.7,68.5,68.6,2020-09-13T15:46:42.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.2,26.2,68.9,68.7,68.8,2020-09-13T15:46:52.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.2,26.2,69.1,69,69.04,2020-09-13T15:47:05.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.2,26.22,69.5,69.1,69.26,2020-09-13T15:47:16.000Z,4090,11,00:a0:c6:00:00:00
26.3,26.3,26.3,70.1,69.7,69.96,2020-09-13T15:47:27.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.3,26.32,70.6,70.2,70.46,2020-09-13T15:47:37.000Z,4090,11,00:a0:c6:00:00:00
26.3,26.3,26.3,70.9,70.7,70.82,2020-09-13T15:47:48.000Z,4090,11,00:a0:c6:00:00:00
26.3,26.3,26.3,71.2,71,71.08,2020-09-13T15:47:58.000Z,4090,11,00:a0:c6:00:00:00
26.3,26.3,26.3,71.5,71.2,71.4,2020-09-13T15:48:14.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.3,26.34,71.8,71.5,71.68,2020-09-13T15:48:24.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.3,26.36,72,71.8,71.88,2020-09-13T15:48:35.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.3,26.34,72,71.9,71.98,2020-09-13T15:48:46.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.4,26.4,72.2,72.1,72.12,2020-09-13T15:48:56.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.4,26.4,72,71.4,71.7,2020-09-13T15:49:07.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.4,26.4,71.3,70.7,71,2020-09-13T15:49:17.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.4,26.4,70.5,69.6,69.98,2020-09-13T15:49:30.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.4,26.4,69.4,68.3,68.8,2020-09-13T15:49:44.000Z,4090,11,00:a0:c6:00:00:00
