temp_max,temp_min,temp_avg,hum_max,hum_min,hum_avg,cur_time,serial,status,mac
26.8,24.6,25.12,57.3,52.3,53.3,2020-09-09T17:51:35.000Z,4090,22,00:a0:c6:00:00:00
24.7,24.6,24.64,52.6,52.3,52.38,2020-09-09T17:51:50.000Z,4090,33,00:a0:c6:00:00:00
24.8,24.7,24.72,53.8,52.8,53.28,2020-09-09T17:52:03.000Z,4090,33,00:a0:c6:00:00:00
24.8,24.8,24.8,54.7,54.1,54.4,2020-09-09T17:52:13.000Z,4090,33,00:a0:c6:00:00:00
24.9,24.8,24.82,57.2,55,55.98,2020-09-09T17:52:26.000Z,4090,33,00:a0:c6:00:00:00
24.9,24.9,24.9,58.4,57.4,57.96,2020-09-09T17:52:36.000Z,4090,33,00:a0:c6:00:00:00
25,24.9,24.94,59,58.6,58.78,2020-09-09T17:52:46.000Z,4090,33,00:a0:c6:00:00:00
25,25,25,59.3,59.2,59.26,2020-09-09T17:52:57.000Z,4090,33,00:a0:c6:00:00:00
25.1,25.1,25.1,60.7,59.6,60,2020-09-09T17:53:09.000Z,4090,32,00:a0:c6:00:00:00
25.2,25.1,25.18,62,60.9,61.64,2020-09-09T17:53:20.000Z,4090,32,00:a0:c6:00:00:00
25.3,25.2,25.26,61.7,60.9,61.34,2020-09-09T17:53:33.000Z,4090,32,00:a0:c6:00:00:00
25.4,25.3,25.38,60.6,59.4,59.9,2020-09-09T17:53:43.000Z,4090,32,00:a0:c6:00:00:00
25.5,25.4,25.46,59.2,58.1,58.56,2020-09-09T17:53:53.000Z,4090,32,00:a0:c6:00:00:00
25.6,25.5,25.56,57.8,56.6,57.18,2020-09-09T17:54:06.000Z,4090,32,00:a0:c6:00:00:00
25.7,25.6,25.66,56.4,55.6,55.96,2020-09-09T17:54:17.000Z,4090,32,00:a0:c6:00:00:00
25.8,25.7,25.78,55.4,54.6,54.9,2020-09-09T17:54:29.000Z,4090,32,00:a0:c6:00:00:00
25.9,25.9,25.9,54.4,53.8,54.06,2020-09-09T17:54:40.000Z,4090,32,00:a0:c6:00:00:00
26,25.9,25.98,53.7,53.2,53.42,2020-09-09T17:54:50.000Z,4090,32,00:a0:c6:00:00:00
26.1,26,26.08,53,52.4,52.66,2020-09-09T17:55:03.000Z,4090,33,00:a0:c6:00:00:00
26.3,26.1,26.2,52.3,52.1,52.16,2020-09-09T17:55:13.000Z,4090,33,00:a0:c6:00:00:00
26.4,26.2,26.3,53,52.1,52.54,2020-09-09T17:55:26.000Z,4090,33,00:a0:c6:00:00:00
26.4,26.4,26.4,53.9,53.2,53.64,2020-09-09T17:55:36.000Z,4090,33,00:a0:c6:00:00:00
26.5,26.4,26.48,54.8,54,54.5,2020-09-09T17:55:47.000Z,4090,33,00:a0:c6:00:00:00
26.6,26.5,26.56,55.6,55,55.32,2020-09-09T17:55:57.000Z,4090,33,00:a0:c6:00:00:00
26.7,26.6,26.64,56.2,55.7,55.88,2020-09-09T17:56:12.000Z,4090,33,00:a0:c6:00:00:00
26.8,26.7,26.74,56.9,56.3,56.66,2020-09-09T17:56:23.000Z,4090,33,00:a0:c6:00:00:00
26.9,26.8,26.82,58.3,57.2,57.88,2020-09-09T17:56:33.000Z,4090,33,00:a0:c6:00:00:00
26.9,26.9,26.9,58.3,57.9,58.08,2020-09-09T17:56:43.000Z,4090,33,00:a0:c6:00:00:00
27,26.9,26.96,58.4,58.2,58.3,2020-09-09T17:56:53.000Z,4090,33,00:a0:c6:00:00:00
27.1,27,27.04,58.2,57.6,57.9,2020-09-09T17:57:04.000Z,4090,23,00:a0:c6:00:00:00
27.1,27,27.02,57.6,57.4,57.48,2020-09-09T17:57:16.000Z,4090,23,00:a0:c6:00:00:00
