temp_max,temp_min,temp_avg,hum_max,hum_min,hum_avg,cur_time,serial,status,mac
24.8,24.6,24.7,60,59.8,59.96,2020-09-10T19:27:57.000Z,4090,22,00:a0:c6:00:00:00
24.7,24.6,24.64,60,59.8,59.9,2020-09-10T19:28:10.000Z,4090,13,00:a0:c6:00:00:00
24.6,24.5,24.56,59.8,59.6,59.64,2020-09-10T19:28:40.000Z,4090,22,00:a0:c6:00:00:00
24.6,24.5,24.52,59.7,59.6,59.64,2020-09-10T19:28:51.000Z,4090,13,00:a0:c6:00:00:00
24.5,24.5,24.5,59.7,59.6,59.62,2020-09-10T19:29:04.000Z,4090,13,00:a0:c6:00:00:00
24.5,24.4,24.48,59.7,59.6,59.68,2020-09-10T19:29:22.000Z,4090,33,00:a0:c6:00:00:00
24.6,24.5,24.52,59.7,59.7,59.7,2020-09-10T19:29:32.000Z,4090,33,00:a0:c6:00:00:00
24.6,24.6,24.6,59.7,59.7,59.7,2020-09-10T19:29:42.000Z,4090,33,00:a0:c6:00:00:00
24.7,24.6,24.66,59.7,59.6,59.62,2020-09-10T19:29:55.000Z,4090,33,00:a0:c6:00:00:00
24.8,24.7,24.76,59.6,59.5,59.54,2020-09-10T19:30:14.000Z,4090,33,00:a0:c6:00:00:00
24.9,24.9,24.9,59.5,59.3,59.38,2020-09-10T19:30:26.000Z,4090,33,00:a0:c6:00:00:00
25,25,25,59.3,59.1,59.2,2020-09-10T19:30:37.000Z,4090,33,00:a0:c6:00:00:00
25.2,25.1,25.12,59.1,58.9,59,2020-09-10T19:30:47.000Z,4090,33,00:a0:c6:00:00:00
25.3,25.2,25.22,58.9,58.7,58.78,2020-09-10T19:30:58.000Z,4090,33,00:a0:c6:00:00:00
25.3,25.3,25.3,58.7,58.4,58.54,2020-09-10T19:31:08.000Z,4090,33,00:a0:c6:00:00:00
25.4,25.3,25.38,58.4,58.2,58.28,2020-09-10T19:31:19.000Z,4090,33,00:a0:c6:00:00:00
25.6,25.5,25.58,58,57.8,57.88,2020-09-10T19:31:35.000Z,4090,33,00:a0:c6:00:00:00
25.7,25.6,25.68,57.7,57.5,57.58,2020-09-10T19:31:45.000Z,4090,33,00:a0:c6:00:00:00
25.8,25.8,25.8,57.4,57.2,57.3,2020-09-10T19:31:55.000Z,4090,33,00:a0:c6:00:00:00
26,25.9,25.94,57.2,56.8,57,2020-09-10T19:32:08.000Z,4090,33,00:a0:c6:00:00:00
26.1,26,26.08,56.7,56.4,56.58,2020-09-10T19:32:21.000Z,4090,33,00:a0:c6:00:00:00
26.3,26.2,26.22,56.3,56.1,56.2,2020-09-10T19:32:34.000Z,4090,33,00:a0:c6:00:00:00
26.3,26.3,26.3,56,55.8,55.88,2020-09-10T19:32:45.000Z,4090,33,00:a0:c6:00:00:00
26.5,26.4,26.42,55.8,55.6,55.66,2020-09-10T19:32:55.000Z,4090,33,00:a0:c6:00:00:00
26.5,26.5,26.5,55.5,55.2,55.34,2020-09-10T19:33:05.000Z,4090,33,00:a0:c6:00:00:00
26.7,26.6,26.62,55.2,54.8,55,2020-09-10T19:33:21.000Z,4090,33,00:a0:c6:00:00:00
26.8,26.7,26.78,54.8,54.5,54.66,2020-09-10T19:33:31.000Z,4090,33,00:a0:c6:00:00:00
26.9,26.8,26.86,54.5,54.1,54.3,2020-09-10T19:33:44.000Z,4090,33,00:a0:c6:00:00:00
27,26.9,26.98,54,53.8,53.92,2020-09-10T19:33:55.000Z,4090,33,00:a0:c6:00:00:00
27.1,27,27.08,53.7,53.6,53.64,2020-09-10T19:34:05.000Z,4090,23,00:a0:c6:00:00:00
27.1,27.1,27.1,53.4,53.2,53.3,2020-09-10T19:34:18.000Z,4090,23,00:a0:c6:00:00:00
27.1,27.1,27.1,53.2,52.9,53.02,2020-09-10T19:34:34.000Z,4090,23,00:a0:c6:00:00:00
27.1,27.1,27.1,52.8,52.7,52.74,2020-09-10T19:34:47.000Z,4090,23,00:a0:c6:00:00:00
27.1,27.1,27.1,52.6,52.5,52.56,2020-09-10T19:34:57.000Z,4090,23,00:a0:c6:00:00:00
27.1,27.1,27.1,52.5,52.3,52.38,2020-09-10T19:35:13.000Z,4090,23,00:a0:c6:00:00:00
27.1,27.1,27.1,52.3,52.2,52.22,2020-09-10T19:35:25.000Z,4090,23,00:a0:c6:00:00:00
27.1,27,27.08,52.2,52.1,52.12,2020-09-10T19:35:36.000Z,4090,23,00:a0:c6:00:00:00
27.1,27,27.02,52.1,52,52.04,2020-09-10T19:35:46.000Z,4090,23,00:a0:c6:00:00:00
27.1,27,27.02,52.1,52,52.02,2020-09-10T19:35:57.000Z,4090,23,00:a0:c6:00:00:00
27,26.9,26.98,52,51.9,51.98,2020-09-10T19:36:12.000Z,4090,23,00:a0:c6:00:00:00
26.9,26.9,26.9,51.9,51.9,51.9,2020-09-10T19:36:25.000Z,4090,23,00:a0:c6:00:00:00
26.9,26.9,26.9,51.9,51.9,51.9,2020-09-10T19:36:36.000Z,4090,23,00:a0:c6:00:00:00
26.9,26.8,26.82,51.9,51.8,51.88,2020-09-10T19:36:46.000Z,4090,23,00:a0:c6:00:00:00
26.8,26.8,26.8,51.9,51.9,51.9,2020-09-10T19:36:57.000Z,4090,23,00:a0:c6:00:00:00
26.8,26.7,26.76,52,51.9,51.92,2020-09-10T19:37:10.000Z,4090,23,00:a0:c6:00:00:00
26.8,26.7,26.72,52,51.9,51.96,2020-09-10T19:37:20.000Z,4090,23,00:a0:c6:00:00:00
26.7,26.6,26.68,52,51.9,51.98,2020-09-10T19:37:33.000Z,4090,23,00:a0:c6:00:00:00
26.6,26.6,26.6,52,52,52,2020-09-10T19:37:44.000Z,4090,23,00:a0:c6:00:00:00
26.6,26.5,26.56,52.1,52,52.06,2020-09-10T19:37:54.000Z,4090,23,00:a0:c6:00:00:00
26.5,26.5,26.5,52.1,52,52.08,2020-09-10T19:38:05.000Z,4090,23,00:a0:c6:00:00:00
26.5,26.5,26.5,52.2,52.1,52.16,2020-09-10T19:38:15.000Z,4090,23,00:a0:c6:00:00:00
26.4,26.4,26.4,52.2,52.1,52.16,2020-09-10T19:38:28.000Z,4090,23,00:a0:c6:00:00:00
26.4,26.3,26.38,52.3,52.2,52.26,2020-09-10T19:38:39.000Z,4090,23,00:a0:c6:00:00:00
26.4,26.3,26.32,52.4,52.3,52.32,2020-09-10T19:38:52.000Z,4090,23,00:a0:c6:00:00:00
26.3,26.2,26.28,52.4,52.4,52.4,2020-09-10T19:39:05.000Z,4090,23,00:a0:c6:00:00:00
26.2,26.2,26.2,52.5,52.5,52.5,2020-09-10T19:39:18.000Z,4090,13,00:a0:c6:00:00:00
26.2,26.1,26.16,52.5,52.5,52.5,2020-09-10T19:39:28.000Z,4090,13,00:a0:c6:00:00:00
26.1,26,26.04,52.7,52.6,52.62,2020-09-10T19:39:39.000Z,4090,13,00:a0:c6:00:00:00
26,25.9,25.94,52.9,52.7,52.8,2020-09-10T19:39:49.000Z,4090,13,00:a0:c6:00:00:00
25.9,25.8,25.82,53.1,52.9,52.98,2020-09-10T19:40:00.000Z,4090,13,00:a0:c6:00:00:00
25.8,25.7,25.72,53.4,53.1,53.24,2020-09-10T19:40:10.000Z,4090,13,00:a0:c6:00:00:00
25.6,25.6,25.6,53.6,53.4,53.52,2020-09-10T19:40:20.000Z,4090,13,00:a0:c6:00:00:00
25.5,25.4,25.48,54,53.7,53.84,2020-09-10T19:40:33.000Z,4090,13,00:a0:c6:00:00:00
25.4,25.3,25.38,54.2,54,54.14,2020-09-10T19:40:44.000Z,4090,13,00:a0:c6:00:00:00
25.3,25.2,25.22,54.8,54.4,54.6,2020-09-10T19:41:02.000Z,4090,13,00:a0:c6:00:00:00
25.2,25.1,25.12,55,54.8,54.9,2020-09-10T19:41:12.000Z,4090,13,00:a0:c6:00:00:00
25.1,24.9,25,55.3,55.1,55.2,2020-09-10T19:41:25.000Z,4090,13,00:a0:c6:00:00:00
24.9,24.8,24.88,55.6,55.3,55.52,2020-09-10T19:41:38.000Z,4090,13,00:a0:c6:00:00:00
24.8,24.8,24.8,56,55.7,55.86,2020-09-10T19:41:51.000Z,4090,13,00:a0:c6:00:00:00
24.7,24.7,24.7,56.2,56,56.12,2020-09-10T19:42:02.000Z,4090,13,00:a0:c6:00:00:00
24.7,24.6,24.62,56.5,56.3,56.4,2020-09-10T19:42:15.000Z,4090,13,00:a0:c6:00:00:00
24.6,24.5,24.54,56.8,56.5,56.7,2020-09-10T19:42:30.000Z,4090,13,00:a0:c6:00:00:00
24.5,24.4,24.42,57.1,56.9,56.98,2020-09-10T19:42:44.000Z,4090,13,00:a0:c6:00:00:00
24.4,24.3,24.32,57.3,57.2,57.24,2020-09-10T19:42:54.000Z,4090,13,00:a0:c6:00:00:00
24.3,24.2,24.24,57.5,57.4,57.48,2020-09-10T19:43:07.000Z,4090,13,00:a0:c6:00:00:00
24.2,24.2,24.2,57.8,57.6,57.7,2020-09-10T19:43:18.000Z,4090,13,00:a0:c6:00:00:00
24.2,24.1,24.12,58,57.8,57.88,2020-09-10T19:43:31.000Z,4090,13,00:a0:c6:00:00:00
24.1,24,24.08,58.2,58,58.12,2020-09-10T19:43:41.000Z,4090,13,00:a0:c6:00:00:00
24,24,24,58.4,58.2,58.3,2020-09-10T19:43:54.000Z,4090,13,00:a0:c6:00:00:00
24,23.9,23.98,58.6,58.4,58.52,2020-09-10T19:44:04.000Z,4090,23,00:a0:c6:00:00:00
23.9,23.8,23.82,59.3,58.6,59.16,2020-09-10T19:45:19.000Z,4090,22,00:a0:c6:00:00:00
23.8,23.8,23.8,59.4,59.3,59.32,2020-09-10T19:45:35.000Z,4090,33,00:a0:c6:00:00:00
23.8,23.8,23.8,62.1,59.4,60.66,2020-09-10T19:45:48.000Z,4090,33,00:a0:c6:00:00:00
23.8,23.8,23.8,64,62.5,63.5,2020-09-10T19:45:58.000Z,4090,33,00:a0:c6:00:00:00
23.8,23.8,23.8,67,65,66.06,2020-09-10T19:46:11.000Z,4090,33,00:a0:c6:00:00:00
23.9,23.8,23.82,70.8,67.4,69.3,2020-09-10T19:46:27.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.84,71.3,71,71.18,2020-09-10T19:46:37.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.84,70.7,70,70.24,2020-09-10T19:46:47.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.84,70,69,69.44,2020-09-10T19:46:58.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.84,68.8,67.9,68.22,2020-09-10T19:47:09.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.86,67,66.2,66.52,2020-09-10T19:47:27.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.88,66.1,65.4,65.72,2020-09-10T19:47:37.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.84,65.3,64.4,64.84,2020-09-10T19:47:53.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.84,64.2,63.5,63.86,2020-09-10T19:48:03.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.8,23.84,63.4,62.8,63.12,2020-09-10T19:48:16.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.9,23.9,62.7,62.4,62.56,2020-09-10T19:48:27.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.9,23.9,62.3,62.1,62.14,2020-09-10T19:48:38.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.9,23.9,62,61.8,61.88,2020-09-10T19:48:48.000Z,4090,33,00:a0:c6:00:00:00
23.9,23.9,23.9,62,61.5,61.7,2020-09-10T19:48:59.000Z,4090,33,00:a0:c6:00:00:00
23.9,23.9,23.9,65.4,62.2,64.02,2020-09-10T19:49:17.000Z,4090,33,00:a0:c6:00:00:00
23.9,23.9,23.9,68.4,66,67.14,2020-09-10T19:49:27.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.9,23.9,71.3,69,70.3,2020-09-10T19:49:40.000Z,4090,32,00:a0:c6:00:00:00
23.9,23.9,23.9,71.2,70.9,71.08,2020-09-10T19:49:53.000Z,4090,31,00:a0:c6:00:00:00
24,23.9,23.92,70.2,68.4,69.14,2020-09-10T19:50:11.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,67.9,66.8,67.3,2020-09-10T19:50:29.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,66.4,65.6,65.96,2020-09-10T19:50:45.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,65.5,64.6,65.02,2020-09-10T19:50:55.000Z,4090,31,00:a0:c6:00:00:00
24,23.9,23.92,64.4,63.9,64.16,2020-09-10T19:51:06.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,63.7,63.4,63.5,2020-09-10T19:51:16.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,63.3,62.8,63.1,2020-09-10T19:51:29.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,62.6,62,62.18,2020-09-10T19:51:42.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,62,61.8,61.92,2020-09-10T19:51:55.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,61.4,61.4,61.4,2020-09-10T19:52:11.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,61.1,60.9,61.04,2020-09-10T19:52:29.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,60.9,60.7,60.78,2020-09-10T19:52:39.000Z,4090,31,00:a0:c6:00:00:00
24,23.9,23.92,60.7,60.4,60.56,2020-09-10T19:52:52.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,60.3,60.1,60.22,2020-09-10T19:53:05.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,60,59.9,59.98,2020-09-10T19:53:18.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,59.9,59.8,59.82,2020-09-10T19:53:29.000Z,4090,31,00:a0:c6:00:00:00
24,23.9,23.92,59.8,59.7,59.78,2020-09-10T19:53:44.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,59.7,59.6,59.68,2020-09-10T19:54:00.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,59.6,59.5,59.52,2020-09-10T19:54:10.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.9,23.9,59.5,59.5,59.5,2020-09-10T19:54:20.000Z,4090,31,00:a0:c6:00:00:00
24,23.9,23.92,59.5,59.4,59.44,2020-09-10T19:54:31.000Z,4090,31,00:a0:c6:00:00:00
23.9,23.8,23.84,69,66.1,68.22,2020-09-10T19:59:22.000Z,4090,22,00:a0:c6:00:00:00
23.8,23.8,23.8,68.5,67.8,68.14,2020-09-10T19:59:35.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.82,67.5,66,66.8,2020-09-10T19:59:46.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,65.8,65,65.3,2020-09-10T19:59:59.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,64.9,64,64.36,2020-09-10T20:00:12.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.86,63.7,62.5,63.1,2020-09-10T20:00:27.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.84,62.4,61.7,62.1,2020-09-10T20:00:40.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.82,61.5,61.2,61.38,2020-09-10T20:00:50.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.84,61.3,60.8,61.08,2020-09-10T20:01:03.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,60.7,60.3,60.52,2020-09-10T20:01:16.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,60.3,59.9,60.08,2020-09-10T20:01:32.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.8,59.7,59.74,2020-09-10T20:01:45.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.82,59.7,59.6,59.66,2020-09-10T20:01:56.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.6,59.4,59.46,2020-09-10T20:02:11.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.4,59.3,59.32,2020-09-10T20:02:24.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.2,59.1,59.18,2020-09-10T20:02:34.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.1,59.1,59.1,2020-09-10T20:02:44.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.1,59.1,59.1,2020-09-10T20:02:55.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.2,59.1,59.18,2020-09-10T20:03:08.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.4,59.2,59.32,2020-09-10T20:03:21.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.5,59.4,59.44,2020-09-10T20:03:34.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.6,59.5,59.58,2020-09-10T20:03:44.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,59.9,59.7,59.86,2020-09-10T20:03:55.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,60.3,60,60.18,2020-09-10T20:04:05.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,60.9,60.3,60.64,2020-09-10T20:04:21.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.8,23.8,61.2,61,61.08,2020-09-10T20:04:31.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.86,61.8,61.3,61.44,2020-09-10T20:04:41.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.88,61.9,61.7,61.8,2020-09-10T20:04:52.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.88,62,61.9,61.96,2020-09-10T20:05:02.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.88,62.6,62,62.34,2020-09-10T20:05:15.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.9,23.9,63.1,62.7,62.96,2020-09-10T20:05:26.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.9,23.9,63.1,63.1,63.1,2020-09-10T20:05:36.000Z,4090,21,00:a0:c6:00:00:00
24,23.9,23.92,63.8,63.3,63.64,2020-09-10T20:05:51.000Z,4090,21,00:a0:c6:00:00:00
24,23.9,23.92,64.6,64,64.4,2020-09-10T20:06:10.000Z,4090,21,00:a0:c6:00:00:00
24,23.9,23.98,65,64.7,64.9,2020-09-10T20:06:20.000Z,4090,21,00:a0:c6:00:00:00
24,23.9,23.98,65.2,64.9,65.12,2020-09-10T20:06:31.000Z,4090,21,00:a0:c6:00:00:00
24,24,24,65.4,65.2,65.3,2020-09-10T20:06:41.000Z,4090,21,00:a0:c6:00:00:00
24,24,24,65.5,65.4,65.46,2020-09-10T20:06:54.000Z,4090,21,00:a0:c6:00:00:00
24,24,24,66,65.6,65.74,2020-09-10T20:07:04.000Z,4090,21,00:a0:c6:00:00:00
27.9,27.8,27.82,56.5,56.1,56.24,2020-09-10T20:16:35.000Z,4090,22,00:a0:c6:00:00:00
27.9,27.9,27.9,56.1,56,56.08,2020-09-10T20:16:48.000Z,4090,12,00:a0:c6:00:00:00
27.9,27.8,27.88,56,55.9,55.96,2020-09-10T20:17:01.000Z,4090,12,00:a0:c6:00:00:00
27.9,27.8,27.82,55.9,55.8,55.84,2020-09-10T20:17:12.000Z,4090,13,00:a0:c6:00:00:00
27.8,27.8,27.8,56.5,55.7,56,2020-09-10T20:17:25.000Z,4090,13,00:a0:c6:00:00:00
27.8,27.8,27.8,58.5,57,57.78,2020-09-10T20:17:37.000Z,4090,13,00:a0:c6:00:00:00
27.8,27.7,27.72,59.8,58.8,59.34,2020-09-10T20:17:48.000Z,4090,13,00:a0:c6:00:00:00
27.7,27.6,27.68,62.8,60.2,61.74,2020-09-10T20:18:01.000Z,4090,13,00:a0:c6:00:00:00
27.7,27.6,27.64,64,63.1,63.58,2020-09-10T20:18:14.000Z,4090,13,00:a0:c6:00:00:00
27.6,27.5,27.58,65.1,64.2,64.66,2020-09-10T20:18:27.000Z,4090,13,00:a0:c6:00:00:00
27.5,27.5,27.5,68.9,65.7,67.26,2020-09-10T20:18:40.000Z,4090,13,00:a0:c6:00:00:00
27.5,27.4,27.46,70,69.2,69.7,2020-09-10T20:18:53.000Z,4090,13,00:a0:c6:00:00:00
27.4,27.4,27.4,70.9,69.5,70.18,2020-09-10T20:19:06.000Z,4090,13,00:a0:c6:00:00:00
27.4,27.3,27.36,72.2,71.2,71.84,2020-09-10T20:19:17.000Z,4090,12,00:a0:c6:00:00:00
27.3,27.3,27.3,71.9,70.1,71.08,2020-09-10T20:19:27.000Z,4090,12,00:a0:c6:00:00:00
27.3,27.2,27.24,70.3,69.3,69.9,2020-09-10T20:19:45.000Z,4090,12,00:a0:c6:00:00:00
27.2,27.2,27.2,68.6,67.1,67.74,2020-09-10T20:19:58.000Z,4090,12,00:a0:c6:00:00:00
27.2,27.1,27.12,66.8,65.1,65.92,2020-09-10T20:20:09.000Z,4090,13,00:a0:c6:00:00:00
27.1,27.1,27.1,64.8,63.5,63.88,2020-09-10T20:20:22.000Z,4090,13,00:a0:c6:00:00:00
27.1,27,27.06,63.8,63.2,63.52,2020-09-10T20:20:32.000Z,4090,13,00:a0:c6:00:00:00
27,27,27,65.5,65,65.26,2020-09-10T20:20:45.000Z,4090,13,00:a0:c6:00:00:00
27,26.9,26.92,66.6,65.6,66.1,2020-09-10T20:20:58.000Z,4090,13,00:a0:c6:00:00:00
26.9,26.8,26.88,67.9,66.4,67.22,2020-09-10T20:21:09.000Z,4090,13,00:a0:c6:00:00:00
26.8,26.8,26.8,67.9,67.2,67.64,2020-09-10T20:21:19.000Z,4090,13,00:a0:c6:00:00:00
26.8,26.7,26.78,69.1,68.5,68.8,2020-09-10T20:21:35.000Z,4090,13,00:a0:c6:00:00:00
26.7,26.7,26.7,71.7,70.1,71.22,2020-09-10T20:21:45.000Z,4090,13,00:a0:c6:00:00:00
26.7,26.6,26.66,71.7,71.3,71.44,2020-09-10T20:21:56.000Z,4090,13,00:a0:c6:00:00:00
26.6,26.6,26.6,70.8,70,70.44,2020-09-10T20:22:06.000Z,4090,13,00:a0:c6:00:00:00
26.6,26.5,26.54,72.6,71,72.1,2020-09-10T20:22:24.000Z,4090,12,00:a0:c6:00:00:00
26.5,26.5,26.5,73.2,72.1,72.66,2020-09-10T20:22:40.000Z,4090,12,00:a0:c6:00:00:00
26.4,26.4,26.4,73.1,72.4,72.64,2020-09-10T20:22:50.000Z,4090,12,00:a0:c6:00:00:00
26.4,26.4,26.4,72.2,71.4,71.78,2020-09-10T20:23:03.000Z,4090,12,00:a0:c6:00:00:00
26.3,26.3,26.3,71,69.8,70.4,2020-09-10T20:23:16.000Z,4090,12,00:a0:c6:00:00:00
26.3,26.2,26.28,69.5,68,68.82,2020-09-10T20:23:27.000Z,4090,12,00:a0:c6:00:00:00
26.2,26.2,26.2,67.5,65.7,66.52,2020-09-10T20:23:37.000Z,4090,12,00:a0:c6:00:00:00
26.2,26.2,26.2,65.5,64.9,65.22,2020-09-10T20:23:47.000Z,4090,12,00:a0:c6:00:00:00
26.2,26.2,26.2,64.8,63.9,64.26,2020-09-10T20:23:59.000Z,4090,11,00:a0:c6:00:00:00
26.2,26.2,26.2,63.4,63,63.2,2020-09-10T20:24:12.000Z,4090,11,00:a0:c6:00:00:00
26.3,26.2,26.24,62.9,62.6,62.76,2020-09-10T20:24:23.000Z,4090,11,00:a0:c6:00:00:00
26.3,26.3,26.3,62.3,62,62.16,2020-09-10T20:24:37.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.3,26.36,61.9,61.5,61.66,2020-09-10T20:24:47.000Z,4090,11,00:a0:c6:00:00:00
26.4,26.4,26.4,61.4,60.9,61.12,2020-09-10T20:24:57.000Z,4090,11,00:a0:c6:00:00:00
26.5,26.4,26.48,60.8,60.4,60.62,2020-09-10T20:25:08.000Z,4090,11,00:a0:c6:00:00:00
26.5,26.5,26.5,60.3,59.9,60.04,2020-09-10T20:25:18.000Z,4090,11,00:a0:c6:00:00:00
26.7,26.5,26.6,59.8,59.4,59.56,2020-09-10T20:25:34.000Z,4090,11,00:a0:c6:00:00:00
26.8,26.6,26.7,59.2,59,59.12,2020-09-10T20:25:47.000Z,4090,11,00:a0:c6:00:00:00
26.8,26.8,26.8,59,58.7,58.82,2020-09-10T20:25:57.000Z,4090,11,00:a0:c6:00:00:00
26.9,26.8,26.88,58.6,58.2,58.36,2020-09-10T20:26:10.000Z,4090,11,00:a0:c6:00:00:00
27,26.9,26.96,58.1,57.9,58.02,2020-09-10T20:26:21.000Z,4090,12,00:a0:c6:00:00:00
27,27,27,57.8,57.5,57.68,2020-09-10T20:26:31.000Z,4090,12,00:a0:c6:00:00:00
27.1,27,27.02,57.5,57.3,57.36,2020-09-10T20:26:42.000Z,4090,11,00:a0:c6:00:00:00
27.2,27.1,27.12,57.2,57,57.08,2020-09-10T20:26:52.000Z,4090,11,00:a0:c6:00:00:00
27.2,27.2,27.2,57,56.7,56.78,2020-09-10T20:27:05.000Z,4090,11,00:a0:c6:00:00:00
27.3,27.2,27.28,56.6,56.4,56.5,2020-09-10T20:27:16.000Z,4090,11,00:a0:c6:00:00:00
27.4,27.3,27.38,56.3,56.2,56.26,2020-09-10T20:27:26.000Z,4090,11,00:a0:c6:00:00:00
27.5,27.4,27.44,56.1,55.9,55.96,2020-09-10T20:27:37.000Z,4090,11,00:a0:c6:00:00:00
27.5,27.5,27.5,55.8,55.6,55.72,2020-09-10T20:27:47.000Z,4090,11,00:a0:c6:00:00:00
27.7,27.5,27.64,55.6,55.3,55.42,2020-09-10T20:28:05.000Z,4090,11,00:a0:c6:00:00:00
27.8,27.7,27.72,55.2,55,55.1,2020-09-10T20:28:16.000Z,4090,11,00:a0:c6:00:00:00
