status,work
33,1
33,1
33,1
33,1
33,1
32,1
32,1
32,1
33,1
33,1
33,1
33,1
33,1
33,1
23,1
23,1
23,1
23,1
23,0
23,0
23,0
23,1
23,1
23,1
23,1
23,0
12,1
12,0
12,0
12,1
12,1
12,1
12,1
12,1
12,1
12,1
31,0
31,1
31,1
31,1
31,0
31,0
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
12,0
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
21,1
21,0
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
13,0
13,0
13,0
13,1
13,0
13,0
13,1
13,0
13,0
13,0
13,1
13,0
13,0
13,0
13,0
13,0
13,1
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,1
13,1
13,0
13,0
13,0
13,0
13,0
